"","date","text"
"35","January 16, 1833","On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. "
"36","March 04, 1837","In a humble Inaugural Address, Van Buren praises the great Presidents before him and gives a positive assessment of the first half century of American statehood. President Van Buren addresses two points of concern: the rising incidence of mob action and abolitionist agitation, which he vowed to vote down."
"37","December 05, 1837","The central issue President Van Buren discusses in his annual message is that of his bill to divorce the Treasury ""from all dependence on the will of irresponsible individuals or corporations,"" and to protect public money from ""the uses of private trade."" Van Buren also discussed two other domestic issues that had important significance for the divorce of the Treasury: land policy and the illegal reissuing of money by Nicholas Biddle's bank in Pennsylvania."
"38","November 21, 1838","There is no summary for this speech."
"39","February 16, 1839","There is no summary for this speech."
"40","March 04, 1841","President Harrison begins by describing how America's democracy is special and then outlines problems with the government and his solutions tothem. This Inaugural Address was the longest in American history; it took nearly two hours to read."
"41","April 09, 1841","After the death of President William Henry Harrison, Vice President John Tyler assumes the presidency. He is the first ever to do so, setting the precedent for presidential succession"
"42","December 07, 1841","In his address to Congress, Tyler describes the result of the Caroline steamboat incident and discusses the repression of the African slave trade. The President also provides updates on the Indian war in Florida and reports on finances and tariffs."
"43","August 18, 1842","There is no summary for this speech."
"44","February 20, 1845","There is no summary for this speech."
"45","May 11, 1846","There is no summary for this speech."
"46","June 10, 1846","There is no summary for this speech."
"47","August 14, 1848","There is no summary for this speech."
"48","April 22, 1850","There is no summary for this speech."
"49","March 05, 1849","Elected by the American people to the highest office known to our laws, I appear here to take the oath prescribed by the Constitution, and, in compliance with a time-honored custom, to address those who are now assembled. "
"50","December 04, 1849","There is no summary for this speech."
"51","January 23, 1850","There is no summary for this speech."
"52","August 06, 1850","Fillmore announces his support of the compromise with Texas. He sends a message to Congress recommending that Texas be paid to abandon claims to part of New Mexico and that the Wilmot Proviso, which states that all land acquired from the Mexican War be closed to slavery, be overturned."
"53","December 02, 1850","Fellow-Citizens of the Senate and of the House of Representatives: "
"54","February 19, 1851","There is no summary for this speech."
"55","December 06, 1852","There is no summary for this speech."
"56","March 04, 1853","There is no summary for this speech."
"57","May 15, 1854","There is no summary for this speech."
"58","January 24, 1856","There is no summary for this speech."
"59","January 08, 1861","There is no summary for this speech."
"60","March 04, 1857","There is no summary for this speech."
"61","December 19, 1859","There is no summary for this speech."
"62","March 01, 1861","There is no summary for this speech."
"63","June 16, 1858","Lincoln delivered his ""House Divided"" speech upon accepting the Republican nomination for Senate in Springfield, Illinois. In this speech he famously states ""a house divided against itself cannot stand"" in describing the coming national conflict over slavery."
"64","March 04, 1861","President Lincoln uses his first inaugural address to attempt to reassure the Southern states that he will protect their interests regarding slavery. He warns, however, that any attempt to secede from the Union will be viewed as a violation of law and met with appropriate consequences."
"65","November 19, 1863","Four months after the Battle of Gettysburg, Lincoln joined in a dedication of a national cemetery on a portion of the battlefield. The speech he delivered that day would become one of the most famous speeches given by a U.S. President."
"66","April 17, 1865","There is no summary for this speech."
"67","May 29, 1865","There is no summary for this speech."
"68","April 02, 1866","There is no summary for this speech."
"69","December 08, 1868","There is no summary for this speech."
"70","March 04, 1869","In his first Inaugural Address, President Ulysses S. Grant focuses much of his speech on the country's economics. He also stresses efforts to heal divisions throughout the country, and he notes his support for the ratification of the Fifteenth Amendment to the US Constitution, which gives citizens, including former slaves, the right to vote."
"71","January 13, 1875","President Grant informs the Senate on the situation in Louisiana and the military intervention in the state, which Grant had ordered the previous September."
"72","December 05, 1876","There is no summary for this speech."
"73","March 05, 1877","In his Inaugural Address, President Rutherford B. Hayes outlines many of his goals. He wants to reform the civil service, return to the country to the gold standard, and use arbitration to resolve conflicts with foreign countries. He also hopes to protect the rights of African Americans, ensuring their right to vote. Hayes believes strongly in the value of education to bring prosperity to the country. "
"74","December 03, 1877","There is no summary for this speech."
"75","March 01, 1879","There is no summary for this speech."
"76","December 06, 1880","There is no summary for this speech."
"77","March 04, 1881","There is no summary for this speech."
"78","December 10, 1884","President Arthur explains the need for and benefits of constructing a canal in Central America connecting the Atlantic and Pacific oceans. He hopes to persuade the Senate to ratify a treaty that would allow the construction of a canal across the territory of the Republic of Nicaragua."
"79","September 22, 1881","Following President Garfield’s death, Arthur is sworn in as President of the United States and addresses the nation."
"80","April 04, 1882","President Arthur vetoes the first Chinese Exclusion Act, which would have banned the immigration of Chinese laborers for twenty years and denied American citizenship to current Chinese residents. The veto greatly angers labor groups, who feel increasingly threatened by the influx of Chinese labor."
"81","December 01, 1884","There is no summary for this speech."
"82","March 04, 1885","There is no summary for this speech."
"83","March 04, 1893","There is no summary for this speech."
"84","March 02, 1897","President Cleveland vetoes “an act to amend the immigration laws of the United States,” which would have banned illiterate immigrants."
"85","March 04, 1889","There is no summary for this speech."
"86","June 04, 1889","President Harrison makes a statement on the Johnstown flood of 1889. The flood killed 2209 people and caused approximately $17 million in property damage."
"87","December 03, 1889","President Harrison sends his first annual message to Congress. Among his recommendations are civil rights and civil service reform, naval legislation, improved conditions for railroad workers, and pensions for veterans."
"88","January 31, 1891","Following the death of his Secretary of the Treasury, President Harrison sends a message to Congress discussing the proper procedure for filling his position."
"89","February 15, 1893","President Harrison sends a treaty to the Senate requesting ""full and complete"" annexation of Hawaii. The Senate, intensely divided, refuses to act."
"90","April 11, 1898","President McKinley asks Congress for authority to ""use armed force"" in Cuba to end the civil war."
"91","March 04, 1901","There is no summary for this speech."
"92","September 05, 1901","Speaking in Buffalo, New York, President McKinley endorses the concept of tariff reciprocity in what would be his last speech. McKinley also notes ""the period of exclusiveness is past. The expansion of our trade and commerce is the pressing problem."""
"93","September 14, 1901","Theodore Roosevelt announces the death of President McKinley."
"94","March 04, 1905","There is no summary for this speech."
"95","January 08, 1906","President Roosevelt updates Congress on the construction of the Panama Canal."
"96","January 14, 1910","President Taft sends this message regarding the conservation of natural resources to Congress as an addendum to his annual message to Congress."
"97","March 04, 1909","There is no summary for this speech."
"98","November 17, 1909","There is no summary for this speech."
"99","December 03, 1912","There is no summary for this speech."
"100","March 04, 1913","Woodrow Wilson delivers his first Inaugural Address following his victory over President William Taft and former President Theodore Roosevelt in the 1912 Presidential Election.  In the address, Wilson elucidates his goals as President, which include: reduction of the tariff and reforms in banking and currency. "
"101","April 16, 1917","President Wilson addresses the nation regarding the beginning of World War I."
"102","January 08, 1918","In this address to Congress, President Wilson lists his ""Fourteen Points"" for a just and lasting peace. His objectives include the self-determination of nations, free trade, disarmament, a pact to end secret treaties, and a league of nations to realize collective security. This speech becomes the basis for Wilson's peace proposals at the end of the war."
"103","January 20, 1920","There is no summary for this speech."
"104","March 04, 1921","There is no summary for this speech."
"105","March 31, 1921","There is no summary for this speech."
"106","November 12, 1921","There is no summary for this speech."
"107","December 06, 1923","President Coolidge’s First Annual Message was the first such address to be broadcast to the nation via radio. The President first comments on the legacy of his predecessor, President Harding, before moving on to state his intention to remain distant from the League of Nations, facilitate tax cuts, and tighten up immigration laws- hallmarks of his tenure in the White House."
"108","March 04, 1925","There is no summary for this speech."
"109","October 20, 1925","President Coolidge addresses the Annual Council of the Congregational Churches, Washington, D.C."
"110","August 10, 1927"," Coolidge explains the motivation behind the creation of this permanent monument, and its depiction of Washington, Jefferson, Lincoln and Roosevelt."
"111","October 25, 1929","President Hoover delivers a message regarding the national economic situation and the events of “Black Thursday,” October 24, 1929, assuring that the economy is still sound."
"112","December 02, 1930","In his second State of the Union address, President Hoover asks Congress to fund for public works projects in order to stem the growing tide of unemployment. Congress complies weeks later, providing $116 million in jobs for the estimated 4.5 million unemployed."
"113","August 11, 1932","There is no summary for this speech."
"114","March 04, 1933","President Franklin Delano Roosevelt delivers the Inaugural Address following his election to his first of four Presidential terms.  The President recounts the nation’s current economic hardships during the Great Depression and stresses the importance of addressing this issue.  Roosevelt pledges to propose solutions to aid in the economy’s recovery, even if it requires unconventional methods to fight this “unprecedented task.”  "
"115","March 09, 1937","Responding to criticism about his proposal to restructure the Supreme Court, Roosevelt criticizes conservative judges who blocked important New Deal programs and advocates a restructuring of the judiciary. Ultimately, the President's plan deteriorates, but, nonetheless, Roosevelt was eventually able to reshape the court by appointing eight justices before his death in 1945."
"116","December 08, 1941","President Franklin Delano Roosevelt requests for Congress to declare war on the Japanese Empire one day after Japan’s surprise attack on Pearl Harbor, an American naval base in Hawaii.  In support of his request, President Roosevelt cites Japan’s planned attack and additional Japanese attacks on locations in the Pacific.  "
"117","May 08, 1945","This broadcast to the American people formally announces the unconditional surrender of Nazi Germany. Truman praises the hard work and sacrifice of the American people but reminds them that the war continues in the Far East."
"118","April 16, 1945","In this address to Congress at the Capitol in Washington, D.C., Truman honors the memory of recently deceased President Franklin D. Roosevelt. Truman also vows to support the ideals of justice, peace, and liberty and calls on the nation to remain focused and dedicated to the fight for freedom and the eventual defeat of Nazi Germany and Japan."
"119","March 12, 1947","In this address before a joint session of Congress, Truman asks for $400 million in military and economic assistance for Greece and Turkey and establishes the Truman Doctrine, which pledges American support for free peoples who are resisting subjugation by armed minorities or outside pressures such as communism."
"120","June 20, 1947","In this radio address to American people on the presidential veto of the Taft-Hartley Bill, Truman claims the bill is bad for labor, bad for management, and bad for the Nation. The President asserts that the bill's restrictions on workers go far beyond what the American people believe, and he would not, under any circumstances, sign the bill."
"121","January 20, 1953","Eisenhower challenges citizens to help lead the world towards a future of freedom by making peace a way of life. He stresses the interdependence of the world, especially in economics, through nine principles he introduces to shape U.S. world leadership. The audio recording begins with Richard Nixon taking the vice presidential oath of office followed by the singing of ""America the Beautiful"" and a prayer. President Eisenhower begins his speech at 9:45 on the recording."
"122","January 05, 1957","In a special message to Congress, Eisenhower proclaims the sovereignty of the Middle Eastern nations and that the United States will ensure that force will not be used for any aggressive purpose in the world. The President seeks congressional authorization to employ the military in the Middle East to uphold this new policy."
"123","January 17, 1961","Eisenhower again calls for peace, but, acknowledging that new crises arise, cautions the United States to maintain balance in its relations. He also also warns against the rising power of the military-industrial complex that could threaten the democratic process."
"124","January 20, 1961","In his Inaugural Address, Kennedy pledges to support liberty, commit to allies, avoid tyranny, aid the underprivileged throughout the world, and strengthen the Americas. Kennedy challenges Communist nations to engage in a dialogue with the United States to ensure world peace and stability. The speech is best known for the words: ""Ask not what your country can do for you—ask what you can do for your country."""
"125","May 25, 1961","This is President John Kennedy's Special Message to the Congress on Urgent National Needs. It was recorded at a joint session of Congress at the Capitol in Washington, D.C. The President asks Congress for an increase in funds to send a man to the moon, to increase unmanned space exploration, to develop a nuclear rocket, and to advance satellite technology."
"126","June 11, 1963","Kennedy speaks from the Oval Office in response to the National Guard being sent to protect African American students at the University of Alabama. The President declares that a moral crisis exists in America and requests congressional action to expedite desegregation through legislation."
"127","November 27, 1963","President Johnson addresses Congress and the American public only a few days after the assassination of John F. Kennedy. He talks about carrying out the work and wishes of Kennedy and coming together as one nation."
"128","July 02, 1964","The President notes the discrepancies between the freedoms outlined in the Constitution and the reality of life in America before praising the Civil Rights Bill for outlawing such differences. Johnson also sets out his plan for enforcing the law and asks citizens to remove injustices in all communities."
"129","January 20, 1965","President Johnson talks about change in the United States. He concentrates on three essential ideas—justice, liberty, and union—as the qualities which formed America. The country will use these qualities to move forward to address the problems prevalent throughout the world. The President identifies the Great Society as a mechanism for continually seeking improvement and reaffirms the centrality of American values and heritage."
"130","January 20, 1969","President Richard Nixon addresses the nation and beckons the American people and people of all nations to rally together in the pursuit of everlasting peace. In a period of unprecedented international conflict, the President proclaims to the nation and the world that his administration will move forward under the banner of unity in an attempt to thwart the hatreds that divide the world. "
"131","April 30, 1970","President Richard Nixon defends his decision to use American forces against the North Vietnamese in Cambodia. Cambodia was an agreed-upon neutral state but the North Vietnamese forces violated the agreement and threatened the security of American forces and the people of South Vietnam. President Nixon upholds his pledge to bring forces home but emphasizes the need for American intervention in Cambodia."
"132","August 09, 1974","President Nixon speaks to members of his cabinet and the White House staff as he leaves the White House after resigning the presidency on August 8, 1974. Forced to resign because of the Watergate scandal, he tells them he is proud of their work and accomplishments. Nixon pledges that leaving the presidency will be a new beginning."
"133","September 08, 1974","I have come to a decision which I felt I should tell you and all of my fellow American citizens, as soon as I was certain in my own mind and in my own conscience that it is the right thing to do."
"134","April 10, 1975","Mr. Speaker, Mr. President, distinguished guests, my very good friends in the Congress, and fellow Americans:"
"135","August 19, 1976","Ford gives a forceful, well-received speech after a difficult battle for the nomination against Ronald Reagan."
"136","January 20, 1977","President Carter notes that the nation must be strong at home in order to be strong abroad, and he emphasizes assisting freedom and human rights causes all over the world. Carter strives to rebuild Americans' confidence in the government as well as equality for all Americans."
"137","July 15, 1979","President Carter speaks to Americans about the ""crisis of confidence"" in American government, values, and way of life, as the public expresses doubt in a better future for their own children. Carter challenges citizens to unite and address the problems in America by first addressing the energy shortage."
"138","October 28, 1980","MR. SMITH. The League of Women Voters is pleased to welcome to the Cleveland, Ohio, Convention Center Music Hall President Jimmy Carter, the Democratic Party's candidate for reelection to the Presidency, and Governor Ronald Reagan of California, the Republican Party's candidate for the Presidency. The candidates will debate questions on domestic, economic, foreign policy, and national security issues."
"139","March 04, 1987","In this broadcast to the American people from the Oval Office, Reagan promises to tell the nation the truth regarding the Iran-Contra scandal, and he admits to making mistakes. He introduces new personnel and processes put in place to ensure the integrity of future national security decisions."
"140","January 20, 1981","Reagan focuses on the economy and ending inflation, while lessening the influence and growth of big government. He returns to passages in his 1967 inaugural speech as California's governor."
"141","March 08, 1983","In this address to the National Association of Evangelicals in Orlando, Florida, President Reagan presents his view of the Soviet Union. The President defends America's Judeo-Christian traditions against the Soviet Union's totalitarian leadership and lack of religious faith, expressing his belief that these differences are at the heart of the fight between the two nations."
"142","June 12, 1987","In one of his most famous statements, President Reagan declares ""Mr. Gorbachev, tear down this wall!"" He speaks of future peace with the Soviet Union and encourages the Soviet government to work on bringing East and West Berlin together."
"143","January 20, 1989","President George H. W. Bush stresses the importance of strengthening America through community involvement, a balanced budget, and bipartisanship."
"144","December 20, 1989","Bush justifies United States military intervention (Operation Just Cause) in Panama in terms of Noriega's attacks on Americans. He vows to uphold democracy in Panama and to fully implement the Panama Canal treaties."
"145","February 27, 1991","Kuwait is liberated. Iraq's army is defeated. Our military objectives are met. Kuwait is once more in the hands of Kuwaitis, in control of their own destiny. We share in their joy, a joy tempered only by our compassion for their ordeal."
"146","January 20, 1993","As the first President elected in the post-Cold War era, Clinton stresses that it is a time for a renewal of America."
"147","December 08, 1993","In light of a changing global economy, President Bill Clinton discusses the North American Free Trade Agreement (NAFTA), which allows for fairer and more efficient trade between the United States, Canada, and Mexico. He believes that this agreement, by creating the world’s largest trade zone, will promote both economic and social progress."
"148","August 17, 1998","Following his testimony before the Grand Jury, President Clinton remarks that while he regrets making misleading comments about the Lewinsky allegations, he assures that he spoke truthfully in front of the Grand Jury. He admits that he did have a relationship with Miss Lewinsky that was “not appropriate.” He emphasizes that the matter should be dealt with privately among his immediate family and should not distract the country from dealing with pressing national issues."
"149","January 20, 2001","George W. Bush delivers his inaugural address following his election to the first of his two Presidential terms.  The President recognizes and thanks his 2000 Presidential Election opponent, Vice President Al Gore, who contested Bush’s victory until a recount of Florida’s votes took place, the critical state in the Electoral College tally.  Bush also promises reductions in taxes, reforms in Social Security, Welfare and education, increases in defense, and intolerance of weapons of mass destruction."
"150","September 21, 2001","President Bush addresses Congress on the US response to the terrorist attacks of September 11, 2001, including the proposed War on Terror."
"151","November 13, 2008","At the Federal Hall National Memorial in New York City, President Bush delivers a speech on the relationship between financial institutions, domestic and global markets, and the government."
"152","November 04, 2008","After winning the 2008 presidential election, Barack Obama takes the stage in Chicago, Illinois, to address the public. He emphasizes the unlikeliness of his victory, the hope for change, and the hard work ahead.  "
"153","June 04, 2009","President Barack Obama discusses the United States’ relations with the Middle East. He addresses the impact of September 11th and U.S. ties to Israel on U.S. foreign policy towards the Muslim world.  He is confident that the underlying principles and values in both the Islamic faith and the U.S. will encourage both regions to pursue peaceful relations. "
"154","January 21, 2013","There is no summary for this speech."
"155","January 20, 2017","Donald J. Trump was inaugurated on January 20, 2017. His speech had an anti-establishment message that focused on populism and his campaign slogan of ""American First."""
"156","February 28, 2017","Mr. Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States, and Citizens of America:"
"157","January 30, 2018","In the 2018 State of the Union Address, President Donald Trump talks about the tax cut passed in December 2017 and the strength of the US economy. He also focuses on immigration, laying out the four pillars for his administration's reform proposal. The transcript is his speech as prepared for delivery. "
"158","March 13, 2020","As the coronavirus spreads through the United States, President Donald Trump holds a press conference in the Rose Garden and declares a national emergency. He is joined by Dr. Deborah Birx who is the coronavirus response coordinator for the White House Coronavirus Task Force, Dr. Anthony Fauci of the National Institutes of Health, and leaders of businesses such as Walmart, Walgreens, Target, and CVS."
"159","August 08, 1974","President Nixon addresses the country to announce his resignation as President of the United States. He concludes that it is evident he no longer has a strong enough political base in Congress to justify continuing his efforts to carry out his term. He acknowledges that the interests of the nation should come before personal considerations. He concedes that America needs a full-time President and full-time Congress and that it would be a distraction for him to continue as President. He ends by advocating for future peace among nations abroad and prosperity, justice, and opportunity for all at home."
"160","April 30, 1973","President Nixon addresses the nation condemning the actions of those involved in the Watergate scandal. He urges the American people to have faith in the judicial system while also advocating for reforms of the system. The President emphasizes the sanctity of the Office of President and his intentions to maintain and promote that sanctity."
"161","December 07, 1796","Making his last public appearance as President, Washington expresses his desire for peace with France and recommends the establishment of a national law to protect American commerce. He concludes with specific proposals for the federal government and then congratulates Congress and the American people on 'the success of the experiment' of the new nation."
"162","March 30, 1796","In 1796, the House and the Senate were battling about power over foreign affairs in the context of the Jay Treaty; the Senate held power to ratify treaties, but the House appropriated the funds to carry out the treaty. Attempting to gain more foreign affairs power, the House requests that President Washington release all pertinent documents and correspondence on the Jay Treaty to the House. In this message, Washington refuses, saying that a dangerous precedent would be set by extending the powers of the House set forth in the Constitution."
"163","December 08, 1795"," Washington’s 1795 speech is imbued with a sense of hopeful progress. He briefs Congress on ongoing negotiations with the Native Americans and the European powers, before moving on to consider current domestic issues and the state of the nation as a whole."
"164","July 10, 1795","There is no summary for this speech."
"165","November 19, 1794"," Fellow Citizens of the Senate and of the House of Representatives:   When we call to mind the gracious indulgence of Heaven, by which the American   People became a nation; when we survey the general prosperity of our country,   and look forward to the riches, power, and happiness, to which it seems destined;   with the deepest regret do I announce to you, that during your recess, some   of the citizens of the United States have been found capable of an insurrection.   It is due, however, to the character of our government, and to its stability,   which cannot be shaken by the enemies of order, freely to unfold the course   of this event. "
"166","September 25, 1794","There is no summary for this speech."
"167","August 07, 1794","Whereas combinations to defeat the execution of the laws laying duties upon spirits distilled within the United States and upon stills have from the time of the commencement of those laws existed in some of the western parts of Pennsylvania; and"
"168","December 03, 1793","Fellow Citizens of the Senate and of the House of Representatives. "
"169","March 04, 1793","In a simple, brief speech, Washington expresses his commitment to the Oath of Office and calls upon the people to reprimand him should he fail his duties."
"170","October 03, 1789","At the request of Congress, Washington establishes November 26th as a national holiday of thanks to God for the successful establishment of the Constitution and government and the liberties the citizens enjoy under the new United States."
"171","January 08, 1790","In a wide-ranging speech, President Washington addresses the need for a regular army, better roads for communication, and taking a census. An important part of his message highlights the need for establishing a good system of education in the country as a way to guarantee all people understood their rights under the Constitution."
"172","December 08, 1790","There is no summary for this speech."
"173","December 29, 1790"," I the President of the United States, by my own mouth, and by   a written Speech signed with my own hand [and sealed with the Seal of the U   S] Speak to the Seneka Nation, and desire their attention, and that they would   keep this Speech in remembrance of the friendship of the United States. "
"174","October 25, 1791"," I meet you, upon the present occasion, with the feelings which   are naturally inspired by a strong impression of the prosperous situation of   our common Country, and by a persuasion equally strong that the labours of the   present45 Session, which has just commenced, will, under the guidance of a spirit   no less prudent than patriotic, issue in measures, conducive to the stability   and increase of national prosperity. "
"175","April 05, 1792","President Washington returns a congressional redistricting bill citing inconsistencies in the proportion of representatives and the provisions laid out by the Constitution. This is the first presidential veto."
"176","November 06, 1792"," Fellow-Citizens of the Senate, and of the House of Representatives: "
"177","December 12, 1792","There is no summary for this speech."
"178","December 03, 1799","The President begins by addressing the problems in the execution of the law in parts of Pennsylvania and recommends a review and revisal of the judiciary system so as not to allow large differences in interpretation. Adams also touches on relations with Britain and France, the state of finances, and the transfer of the government from Philadelphia to Washington, D.C."
"179","November 22, 1800","Adams focuses his remarks on the move of the Government to its permanent seat in Washington, D.C., and his praise for the armed forces and the navy, which have increased the global reputation of the United States. The President briefly touches upon relations with Britain, France, and Prussia."
"180","December 08, 1798","Gentlemen of the Senate and Gentlemen of the House of Representatives:"
